Year,Title,Raw Text Length,Raw Text Word Count,Raw Text Unique Word Count,Cleaned Text Length,Cleaned Text Word Count,Cleaned Text Unique Word Count,Title Name,entropies,entropies_norm,Scaling_Exponent_Heaps_law,Scaling_Exponent_Zipf_Mandelbrot_law,Group
1926,1,7399,1105,324,6724,1003,295,General Provisions,7.167554187613234,0.8736049772250629,0.5665979275394949,0.9000966208312855,Government Structure
1926,2,104602,16620,1962,101892,16065,1883,The Congress,8.176540718087583,0.7516019898276589,0.4276579230193875,1.1577270171190706,Government Structure
1926,3,25484,4236,760,24222,4022,732,The President,7.510042174940789,0.7892264681075805,0.6157843000734954,1.049127457402787,Government Structure
1926,4,13388,1946,676,12744,1777,564,"Flag and Seal, Seat of Government, and the States",7.635573996195136,0.8354429776458426,0.7074210957301557,0.857915826888157,Government Structure
1926,5,417036,64460,4520,401006,62319,4314,Government Organization and Employees,8.647298686365804,0.7161436375486389,0.390690259237354,1.207310340863345,Government Structure
1926,6,25584,3789,890,24293,3707,880,Surety Bonds,7.946576980468054,0.8124204827556176,0.5916791980643116,1.0497151383592804,Economy
1926,7,197611,28553,3744,188103,27421,3610,Agriculture,8.879565279665048,0.7513731795690384,0.4156586051750371,1.1497135090533892,Society
1926,8,374792,52934,6484,362860,52213,6393,Aliens and National and Citizenship,9.264325823994628,0.7328051383959595,0.3870291859229276,1.0574116967402796,Society
1926,9,17273,2388,707,16397,2369,706,Arbitration,7.909840413661351,0.8358239596235351,0.5682433910519821,0.9781027084899,Society
1926,10,559439,84788,6068,543566,82467,5698,Armed Forces,8.942500683232698,0.7167624821561822,0.4209591514248783,1.0249725177624052,National Defense
1926,11,100493,16833,1666,96945,16282,1634,Bankruptcy,8.136244648208622,0.7622351597028192,0.5204258236424302,0.986517131148794,Economy
1926,12,511267,80888,3678,495328,78438,3369,Banks and Banking,8.458733098108102,0.7218516394239197,0.4203875323145509,1.068164289214823,Economy
1926,13,12419,1869,562,11935,1847,552,Census,7.536583750132104,0.8274209270551726,0.5512053730041403,1.013449162872756,Government Structure
1926,14,90364,13523,2123,87838,13064,2056,Coast Guard,8.511268803110479,0.7733562747907748,0.55185905359939,1.0702933585489736,National Defense
1926,15,257649,40498,3305,250412,39492,3198,Commerce and Trade,8.559304223718456,0.7351488341727667,0.4241816997653756,1.2178903905620082,Economy
1926,16,476253,76686,4104,449948,72457,3889,Conservation,8.598759681756542,0.7210588975627363,0.4255287500189385,1.1728077358197055,Society
1926,17,63019,10080,1300,60588,9763,1283,Copyrights,7.986079278861975,0.7734472663881702,0.4953972401625494,1.065718677492033,Society
1926,18,488111,77937,4709,471040,75339,4600,Crimes and Criminal Procedure,8.665627045805824,0.7121993295491745,0.4214752000968683,1.1423403036321855,Society
1926,19,553128,86219,5884,533250,83322,5441,Customs Duties,8.89847160949296,0.717060289859947,0.2490743799490819,1.2162091114090685,Economy
1926,20,83967,13325,1652,81073,12843,1589,Education,8.105166498554478,0.7622005002818656,0.4784282687566101,1.173801832581851,Society
1926,21,160074,23706,2899,152789,22820,2819,Food and Drugs,8.627245244066076,0.7527501536337269,0.4305679923326069,1.234881871129096,Society
1926,22,166765,26543,2633,161061,25859,2524,Foreign Relations and Intercourse,8.411609897982638,0.7442917072977545,0.4471920912980724,1.1672990244041808,National Defense
1926,23,41528,6326,999,40227,6119,990,Highways,7.861279971874678,0.7899763896867631,0.5101367361726776,1.0606033495478508,Economy
1926,24,129782,20770,2269,126686,20269,2157,Hospitals and Asylums,8.345575285894594,0.7535637124592486,0.5295834171246041,1.116835266728675,Society
1926,25,269923,43706,3466,260854,42126,3303,Indians,8.40338454017242,0.7188793794199627,0.4338497875964838,1.1541095361397935,Society
1926,26,783011,125538,5622,749071,121742,5336,Internal Revenue Code,8.659776515677372,0.699410126009284,0.3411028479993717,1.1300230963236522,Economy
1926,27,79843,12607,1610,77062,12227,1578,Intoxicating Liquors,8.240829884650754,0.7756891765403451,0.6169397160824149,1.1754392988458688,Society
1926,28,627031,102646,5111,601718,98677,4994,Judiciary and Judicial Procedure,8.628156026034318,0.7022765747334292,0.4350383750094392,1.0304947934177848,Society
1926,29,29699,4388,1026,28581,4295,1014,Labor,8.084689723413566,0.8096152306852663,0.4273870044156722,1.0684844055461644,Society
1926,30,155768,25429,2221,145118,23758,2132,Mineral Lands and Mining,8.262053628470808,0.7471567926268324,0.4993725323842953,1.1428651280864928,Economy
1926,31,394033,58502,5650,380556,56724,5423,Money and Finance,8.960463507288384,0.7223340161521516,0.4754182767085404,1.1695967272221357,Economy
1926,32,116868,16529,2782,112999,16075,2724,National Guard,8.661125683493559,0.758981496192062,0.4975793845949087,1.0692457252645444,National Defense
1926,33,351478,52130,5759,339601,50855,5503,Navigation and Navigable Waters,9.134293347961416,0.7350950770091638,0.431210952700413,1.1304536249217936,Economy
1926,34,538451,80642,6893,511986,77856,6564,Navy,8.905196541651598,0.702282654142284,0.4396580663161757,1.047253994542431,National Defense
1926,35,35279,4646,1413,33714,4461,1361,Patents,8.515774610358223,0.8180024403195498,0.3983170668410285,1.099676164879598,Economy
1926,36,69091,9263,2065,67030,9076,2011,Patriotic Societies and Observances,8.758770801064285,0.7981604110897044,0.4661136680138211,0.988775094265676,Government Structure
1926,37,44367,7241,772,42860,7113,758,Pay and Allowances of the Uniformed Services,7.495756941231585,0.7835787788069697,0.4880787235987043,0.9960324120135396,National Defense
1926,38,342062,53408,4583,330443,52140,4432,Veterans Benefits,8.818859722992407,0.7280045754736925,0.4008476948367909,1.1237875354727829,National Defense
1926,39,391493,58246,5086,383352,56922,4833,Postal Service,8.795335101708398,0.7186492638066198,0.4911674547554518,1.106108798374461,Economy
1926,40,204963,27179,4659,196422,26734,4571,"Public Buildings, Property, and Works",9.108883543478594,0.7491909198658456,0.4880965307273946,1.0443215128605492,Economy
1926,41,10532,1679,523,10362,1657,516,Public Contracts,7.59548059135968,0.8428908045558909,0.472885407295904,1.0103194194332448,Economy
1926,42,77479,10456,2265,74204,10111,2232,The Public Health and Welfare,8.688238826254334,0.7810269757680025,0.4297328708181768,1.0449628181090946,Society
1926,43,663753,103211,7302,639850,99827,7035,Public Lands,8.992143481868045,0.7035921740102891,0.5074332673081611,1.07510910758821,Economy
1926,44,165316,23607,3360,160822,22933,3239,Public Printing and Documents,8.716414984456481,0.7474630189561465,0.511349400630005,1.0884856639179792,Government Structure
1926,45,156726,24709,2431,151634,24072,2359,Railroads,8.072803876914923,0.7205313202421452,0.4297977175594837,1.5293842962568704,Economy
1926,46,742758,106198,9957,719666,104701,9698,Shipping,9.417984153182497,0.7111416463483359,0.5188320778224618,1.1335158096487667,Economy
